id,address,source,full_bytes,verified_operands,match_status,different_bytes,reference_span_sha256,resolved_span_sha256,team_status,carry_in
module_start_all,0x0046EFFE,src/module_start_all.c,193,2,relocation-adjusted-match,0,01bd57a078631207710cc4de215c576320b8f22c91108ce44396d701166cf2f6,01bd57a078631207710cc4de215c576320b8f22c91108ce44396d701166cf2f6,not_done,True
module_open_all,0x0046EC85,src/module_open_all.c,137,4,relocation-adjusted-match,0,8ab2d4a82604687abac18175a8594ca402a339bdc56a6a3bc1574b689492f900,8ab2d4a82604687abac18175a8594ca402a339bdc56a6a3bc1574b689492f900,not_done,False
module_close_all,0x0046ED0E,src/module_close_all.c,86,3,relocation-adjusted-match,0,3e59f58e12b32281c2ba8e26b808174cbee009e3ac7b959c6103316cf3c14b9d,3e59f58e12b32281c2ba8e26b808174cbee009e3ac7b959c6103316cf3c14b9d,not_done,False
module_install,0x0046ED64,src/module_install.c,299,8,relocation-adjusted-match,0,8a245b4384cee794fef3ec92455d7ada1364e6e0866d5c4e4518cfe2ac29ce86,8a245b4384cee794fef3ec92455d7ada1364e6e0866d5c4e4518cfe2ac29ce86,not_done,False
module_shutdown_all,0x0046EC0C,src/module_shutdown_all.c,121,4,relocation-adjusted-match,0,92f52c4ecb262be1d872f8728a5c1615f739ec70b1bb31b1e65b6958d6a29400,92f52c4ecb262be1d872f8728a5c1615f739ec70b1bb31b1e65b6958d6a29400,not_done,False
module_broadcast,0x0046F3C3,src/module_broadcast.c,230,3,relocation-adjusted-match,0,dd39118e79e5f80783ca5af21a4be7ae613f6a5b3e3876b55675c8ab475fc4a3,dd39118e79e5f80783ca5af21a4be7ae613f6a5b3e3876b55675c8ab475fc4a3,not_done,False
path_drive,0x0046F82F,src/path_drive.c,65,1,relocation-adjusted-match,0,637d628cf324c3938ea7c4c9ca1130a675732dc1be41e74b8bd66564851819af,637d628cf324c3938ea7c4c9ca1130a675732dc1be41e74b8bd66564851819af,not_done,False
path_first_directory_offset,0x0046FA53,src/path_first_directory_offset.c,99,1,relocation-adjusted-match,0,9a553138d7d2d82c846ad74337dba411a5aef8e06dafa6727edc6667552fef1f,9a553138d7d2d82c846ad74337dba411a5aef8e06dafa6727edc6667552fef1f,not_done,False
path_file_offset,0x0046FAB6,src/path_file_offset.c,124,0,raw-code-match,0,fc82aa7d631626886d2712fbed1786dc2414d40c2359c466733f85909dbe948f,fc82aa7d631626886d2712fbed1786dc2414d40c2359c466733f85909dbe948f,not_done,False
path_extension_offset,0x0046FB32,src/path_extension_offset.c,102,1,relocation-adjusted-match,0,cadb4a5fcd5bfb679864f95b2ef33928c4c2dc798aa91316a8b3486eecc93111,cadb4a5fcd5bfb679864f95b2ef33928c4c2dc798aa91316a8b3486eecc93111,not_done,False
path_copy_extension,0x0046F747,src/path_copy_extension.c,99,1,relocation-adjusted-match,0,00cffc44a1a3c104da6abd73c91bcc39fce2c99c5b6456183bda4fb4e5de45b3,00cffc44a1a3c104da6abd73c91bcc39fce2c99c5b6456183bda4fb4e5de45b3,not_done,False
path_copy_stem,0x0046F7AA,src/path_copy_stem.c,133,3,relocation-adjusted-match,0,1194cc035f848481f7e1fb3d81cca1712c51a8b057ee95af59f3f97af6326938,1194cc035f848481f7e1fb3d81cca1712c51a8b057ee95af59f3f97af6326938,not_done,False
path_copy_directory,0x0046F870,src/path_copy_directory.c,116,3,relocation-adjusted-match,0,bc8ffb1d722d0fe4210bf8bca6ff106c3f05c24ccf5b3706d1933f9d0d4bd2b9,bc8ffb1d722d0fe4210bf8bca6ff106c3f05c24ccf5b3706d1933f9d0d4bd2b9,not_done,False
path_copy_drive_directory,0x0046F8E4,src/path_copy_drive_directory.c,196,4,relocation-adjusted-match,0,45c8e8325fed083104e6733674656b4206a51d374b8cb143dfe0ed1825798a4d,45c8e8325fed083104e6733674656b4206a51d374b8cb143dfe0ed1825798a4d,not_done,False
path_directory_offset,0x0046F9A8,src/path_directory_offset.c,171,2,relocation-adjusted-match,0,f9364199206ae1e7e806f72f5715b8c2548c858e0061db79d68caabda8dbb3cb,f9364199206ae1e7e806f72f5715b8c2548c858e0061db79d68caabda8dbb3cb,not_done,False
path_copy_nth_directory,0x0046F680,src/path_copy_nth_directory.c,100,3,relocation-adjusted-match,0,5a44f9a2ddadab1585d5938a46cbab12a781420b0a03b4f593fd1df3507252b8,5a44f9a2ddadab1585d5938a46cbab12a781420b0a03b4f593fd1df3507252b8,not_done,False
path_copy_filename,0x0046F6E4,src/path_copy_filename.c,99,1,relocation-adjusted-match,0,715317fa96206cf6cdc89fe289fe00cf8a9d91e520c30260546f93c6ab71e1c5,715317fa96206cf6cdc89fe289fe00cf8a9d91e520c30260546f93c6ab71e1c5,not_done,False
