id,address,source,bytes,match,different_bytes,address_operands,first_exact_attempt,first_acceptance_event,source_commit,build_id,focused_checks
stream_open,0x00470C66,src/stream_open.c,86,relocation-adjusted-match,0,1,1,000076-0c1c24ed06049913.json,5b1f375d87b7f49c81589dbb696a41dbf9603f96,20260914-133130-c1e62bf2,5760
pack_stream_open,0x004706E5,src/pack_stream_open.c,161,relocation-adjusted-match,0,2,1,000076-0c1c24ed06049913.json,5b1f375d87b7f49c81589dbb696a41dbf9603f96,20260914-133130-c1e62bf2,6336
stream_close,0x00470CBC,src/stream_close.c,44,relocation-adjusted-match,0,1,1,000076-0c1c24ed06049913.json,5b1f375d87b7f49c81589dbb696a41dbf9603f96,20260914-133130-c1e62bf2,5376
random_table_next,0x00470E37,src/random_table_next.c,53,relocation-adjusted-match,0,6,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,160992
random_table_shuffle_position,0x00470E6C,src/random_table_shuffle_position.c,25,relocation-adjusted-match,0,2,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,792
random_table_at,0x00470E85,src/random_table_at.c,38,relocation-adjusted-match,0,1,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,54096
skills_new_game,0x00457E60,src/skills_new_game.c,51,relocation-adjusted-match,0,5,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,41472
skills_easier,0x00457EEE,src/skills_easier.c,27,relocation-adjusted-match,0,3,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,41472
skills_harder,0x00457F09,src/skills_harder.c,27,relocation-adjusted-match,0,3,1,000077-1e6788f606886975.json,d63340de966db4ba2b79a055f3f7990df3a63da0,20260914-135911-6f3576f4,41472
gameplay_random,0x00470CF0,src/gameplay_random.c,102,relocation-adjusted-match,0,5,1,000078-971ca0c356ac53a4.json,e6df1f908e133fb65dcdb4a189e22a697048dede,20260914-142447-6281f129,17600
gameplay_seed,0x00470D56,src/gameplay_seed.c,75,relocation-adjusted-match,0,2,1,000078-971ca0c356ac53a4.json,e6df1f908e133fb65dcdb4a189e22a697048dede,20260914-142447-6281f129,2400
gameplay_roll,0x00470DA1,src/gameplay_roll.c,68,relocation-adjusted-match,0,1,2,000078-971ca0c356ac53a4.json,e6df1f908e133fb65dcdb4a189e22a697048dede,20260914-142447-6281f129,5664
audio_pause,0x00496F00,src/audio_pause.c,35,relocation-adjusted-match,0,1,1,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,1020
audio_play,0x00496C3B,src/audio_play.c,52,raw-code-match,0,0,1,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,8960
audio_unlock,0x00497039,src/audio_unlock.c,50,raw-code-match,0,0,1,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,32640
music_stop,0x00495CBF,src/music_stop.c,37,relocation-adjusted-match,0,3,1,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,11100
music_is_playing,0x00495CE4,src/music_is_playing.c,92,relocation-adjusted-match,0,3,4,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,14100
audio_get_play_position,0x00496F6F,src/audio_get_play_position.c,85,raw-code-match,0,0,2,000079-5eb6d26429734471.json,35486f8f67946156f2d36522aa39dfecc1367190,20260914-144446-3d69b57d,17440
elapsed_ticks,0x00475B1D,src/elapsed_ticks.c,16,relocation-adjusted-match,0,2,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,27648
elapsed_seconds,0x00475B2D,src/elapsed_seconds.c,16,relocation-adjusted-match,0,2,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,2592
delta_ticks,0x00475B3D,src/delta_ticks.c,42,relocation-adjusted-match,0,3,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,27648
signed_ms_to_seconds,0x00475B67,src/signed_ms_to_seconds.c,14,relocation-adjusted-match,0,1,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,680
ui_get_cursor,0x00460A30,src/ui_get_cursor.c,26,relocation-adjusted-match,0,2,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,10240
ui_navigation_code_pointer,0x00460A4A,src/ui_navigation_code_pointer.c,10,relocation-adjusted-match,0,1,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,1408
ui_set_joy_navigation,0x00461294,src/ui_set_joy_navigation.c,13,relocation-adjusted-match,0,1,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,2240
ui_clear_joy_latches,0x004612A1,src/ui_clear_joy_latches.c,25,relocation-adjusted-match,0,2,1,000080-4d436a5b6af0067d.json,126f314c0d0bf118ee803de7cbbcb8455f786e9c,20260914-151042-267f0abf,1280
ui_toggle_debug_boxes,0x00462750,src/ui_toggle_debug_boxes.c,22,relocation-adjusted-match,0,2,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,896
ui_set_mouse_focus_clears,0x00462766,src/ui_set_mouse_focus_clears.c,13,relocation-adjusted-match,0,1,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,896
ui_widget_activation_id,0x004628F8,src/ui_widget_activation_id.c,11,raw-code-match,0,0,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,1120
ui3d_begin,0x0045C1FC,src/ui3d_begin.c,24,relocation-adjusted-match,0,2,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,896
ui3d_end,0x0045C214,src/ui3d_end.c,39,relocation-adjusted-match,0,5,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,5936
console_close,0x0048C368,src/console_close.c,11,relocation-adjusted-match,0,1,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,8960
console_goto,0x0048C539,src/console_goto.c,40,relocation-adjusted-match,0,2,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,10880
console_get_xy,0x0048C561,src/console_get_xy.c,48,relocation-adjusted-match,0,2,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,51200
console_set_default_attr,0x0048C60B,src/console_set_default_attr.c,20,relocation-adjusted-match,0,1,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,5120
console_set_attr,0x0048C61F,src/console_set_attr.c,33,relocation-adjusted-match,0,3,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,10240
console_flush,0x0048C640,src/console_flush.c,17,relocation-adjusted-match,0,2,1,000081-b581575239647125.json,3ee1cba09bba5c867170d6615895975dd3b8e85a,20260914-153055-2f76ffa5,9600
console_box_destroy,0x0048C519,src/console_box_destroy.c,32,relocation-adjusted-match,0,2,1,000082-8425769f31a9f75f.json,970a19aa4ec220d7ffd83cd8aa67e0c8cf979d61,20260914-155929-6282a515,1024
console_show_cursor,0x0048C591,src/console_show_cursor.c,122,relocation-adjusted-match,0,15,2,000082-8425769f31a9f75f.json,970a19aa4ec220d7ffd83cd8aa67e0c8cf979d61,20260914-155929-6282a515,29200
console_clear,0x0048C651,src/console_clear.c,87,relocation-adjusted-match,0,6,6,000082-8425769f31a9f75f.json,970a19aa4ec220d7ffd83cd8aa67e0c8cf979d61,20260914-155929-6282a515,87040
console_clear_row,0x0048C6A8,src/console_clear_row.c,71,relocation-adjusted-match,0,4,6,000082-8425769f31a9f75f.json,970a19aa4ec220d7ffd83cd8aa67e0c8cf979d61,20260914-155929-6282a515,66560
